Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Mfg,PN,Source,Description,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,MF,Description_1,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,Availability,MANUFACTURER
AE1,1,Antenna,0479480001,,,,tht,Molex,0479480001,,,,,,,,,,,,,,,
"C1, C2, C7",3,2.2uF,C_0402_1005Metric,,,,smt,Yageo,CC0402MRX5R5BB225,,,,,,,,,,,,,,,
"C10, C11",2,TBD,C_0402_1005Metric,,,,smt,,,ANY,,,,,,,,,,,,,,
"C12, C13, C15, C9",4,100n,C_0402_1005Metric,,,,smt,Yageo,CC0402ZRY5V7BB104,,,,,,,,,,,,,,,
"C14, C19, C5",3,10u,C_0603_1608Metric,,,,smt,Yageo,CC0603KRX5R5BB106,,,,,,,,,,,,,,,
C16,1,3.3nF,C_0201_0603Metric,,,,smt,Yageo,GRM033R70J332KA01D,,,,,,,,,,,,,,,
C17,1,10nF,C_0402_1005Metric,,,,smt,Yageo,KGM05AR70J103KH,,,,,,,,,,,,,,,
C18,1,0.1uF,C_0402_1005Metric,,,,smt,Yageo,CL05B104KP5NNNC,,,,,,,,,,,,,,,
C20,1,4.7uF,C_0402_1005Metric,,,,smt,Yageo,CL05A475MP5NRNC,,,,,,,,,,,,,,,
"C3, C4",2,18pF,C_0402_1005Metric,,,,smt,Yageo,CC0402GRNPO9BN180,,,,,,,,,,,,,,,
C6,1,22pF,C_0402_1005Metric,,,,smt,Yageo,CC0402KRNPO9BN220,,,,,,,,,,,,,,,
D1,1,RED,LED_0603_1608Metric_Compact,,,,smt,Lite-On Inc.,LTST-C191KRKT,,,,,,,,,,,,,,,
D2,1,GRN,LED_0603_1608Metric_Compact,,,,smt,Lite-On Inc.,LTST-C191KGKT,,,,,,,,,,,,,,,
D3,1,BLU,LED_0603_1608Metric_Compact,,,,smt,Lite-On Inc.,LTST-C191TBKT,,,,,,,,,,,,,,,
D4,1,FM-B2020RGBA-HG,LED_Lumex_SML-LX0303SIUPGUSB,,,,smt,,,,,,,,,,,,,,,,,
J1,1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,smt,GCT,USB4105-GF-A,,,,,,,,,,,,,,,
L1,1,2.2uH,L_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,,
L2,1,TBD,L_0402_1005Metric,,,,smt,,,,,,,,,,,,,,,,,
P10,1,10,Pin_Header_Straight_Round_1x01_Castellated,,,,tht,,,ANY,,,,,,,,,,,,,,
P11,1,11,Pin_Header_Straight_Round_1x01_Castellated,,,,tht,,,ANY,,,,,,,,,,,,,,
P12,1,12,Pin_Header_Straight_Round_1x01_Castellated,,,,tht,,,ANY,,,,,,,,,,,,,,
