Designator,Mid X,Mid Y,Rotation,Layer
AE1,123.6,-104.7,180.0,top
C1,127.6,-100.1,180.0,top
C10,124.6,-101.2,0.0,top
C11,124.6,-102.2,0.0,top
C12,113.8,-96.2,90.0,top
C13,114.0,-104.0,270.0,top
C14,121.7,-94.4,0.0,top
C15,125.0,-100.2,0.0,top
C16,120.8,-103.5,0.0,top
C17,121.2,-105.7,90.0,top
C18,108.52,-103.53,0.0,top
C19,123.2,-99.2,90.0,top
C2,129.6,-100.1,0.0,top
C20,108.5,-104.5,0.0,top
C3,115.5,-105.1,270.0,top
C4,120.2,-105.7,90.0,top
C5,101.1,-106.7,270.0,top
C6,107.7,-105.9,90.0,top
C7,108.9,-105.9,90.0,top
C9,119.5,-94.0,90.0,top
D3,102.7,-92.8,90.0,top
J1,102.4,-99.5,270.0,top
L1,106.6,-107.8,0.0,top
L2,123.1,-101.7,270.0,top
P10,121.8,-108.0785,0.0,top
P11,124.3,-108.0785,0.0,top
P12,126.8,-108.0785,0.0,top
P13,131.7,-92.0215,180.0,top
P14,134.3,-92.0215,180.0,top
P15,121.6,-92.0215,180.0,top
P16,126.67,-92.0015,180.0,top
P17,124.13,-92.0015,180.0,top
P18,129.2,-92.0015,180.0,top
P25,134.6685,-100.0,90.0,top
P28,134.6685,-102.54,90.0,top
P30,134.6685,-94.92,90.0,top
P31,134.6685,-97.46,90.0,top
P7,129.3,-108.1,0.0,top
P8,131.8,-108.1,0.0,top
P9,134.3,-108.1,0.0,top
Q1,114.1,-93.3,90.0,top
Q2,110.6,-93.3,90.0,top
R1,113.8,-105.6,180.0,top
R10,111.6,-105.6,180.0,top
R13,101.2,-92.8,270.0,top
R15,120.7,-104.4,180.0,top
R16,110.8,-104.1,270.0,top
R17,109.8,-104.1,90.0,top
R18,111.9,-104.1,270.0,top
R20,112.4,-96.2,180.0,top
R21,110.4,-96.2,0.0,top
R22,112.9,-104.1,90.0,top
R7,106.6,-105.9,90.0,top
R8,105.4,-105.9,270.0,top
RN1,134.3,-105.2,90.0,top
SW1,111.5,-107.7,180.0,top
SW2,115.5,-107.8,0.0,top
U2,129.4,-103.5,90.0,top
U3,118.4,-99.3,180.0,top
U4,128.6,-96.7,90.0,top
U5,103.3,-106.4,180.0,top
U7,111.0,-100.0,90.0,top
Y1,117.9,-105.0,270.0,top
