Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,479480001,123.6728,-104.6228,180,top
C1,2.2uF,C_0402_1005Metric,126.7462,-100.0254,0,top
C2,2.2uF,C_0402_1005Metric,131.75,-100.2032,0,top
C3,18pF,C_0402_1005Metric,113.5382,-107.0612,90,top
C4,18pF,C_0402_1005Metric,120.2438,-105.5626,90,top
C5,10u,C_0603_1608Metric,101.016,-106.4008,-90,top
C6,22pF,C_0402_1005Metric,106.2992,-106.0198,90,top
C7,2.2uF,C_0402_1005Metric,113.081,-104.0894,-90,top
C9,100n,C_0402_1005Metric,114.0716,-104.1148,-90,top
C10,1pF,C_0402_1005Metric,125.146,-101.7526,-90,top
C11,1pF,C_0402_1005Metric,124.1554,-101.7526,-90,top
C12,100n,C_0402_1005Metric,117.78,-93.1674,90,top
C13,100n,C_0402_1005Metric,114.5542,-107.0612,-90,top
C14,10u,C_0603_1608Metric,122.8346,-101.2192,-90,top
C15,100n,C_0402_1005Metric,122.86,-96.571,90,top
C16,3.3nF,C_0201_0603Metric,120.955,-104.2672,0,top
C17,10nF,C_0402_1005Metric,121.1836,-105.5626,90,top
C18,0.1uF,C_0402_1005Metric,112.192,-104.0894,-90,top
C19,10u,C_0603_1608Metric,115.2908,-104.445,-90,top
C20,4.7uF,C_0402_1005Metric,108.3058,-106.0452,90,top
D3,BLU,LED_0603_1608Metric_Compact,115.4432,-93.269,90,top
J1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,102.4,-99.5,-90,top
L1,2.2uH,L_0805_2012Metric,106.5532,-107.8994,0,top
L2,2.7nH,L_0402_1005Metric,124.6634,-100.0254,180,top
Q1,SS8050-G,SOT95P240X115-3N,109.0576,-93.2866,90,top
Q2,SS8050-G,SOT95P240X115-3N,112.6746,-93.2944,90,top
R1,10k,R_0402_1005Metric,115.5702,-107.0612,90,top
R7,453k,R_0402_1005Metric,107.2898,-106.0452,90,top
R8,100k,R_0402_1005Metric,105.2832,-106.0452,-90,top
R10,10k,R_0402_1005Metric,112.5222,-107.0612,-90,top
R13,2k2,R_0402_1005Metric,116.7386,-93.1674,-90,top
R15,20K,R_0402_1005Metric,120.7772,-103.429,180,top
R16,22.1K,R_0402_1005Metric,108.3058,-104.1148,90,top
R17,47.5K,R_0402_1005Metric,109.2964,-104.1148,90,top
R18,2K,R_0402_1005Metric,110.287,-104.1148,-90,top
R20,10K,R_0402_1005Metric,108.6106,-95.7582,0,top
R21,10K,R_0402_1005Metric,112.2428,-95.7836,0,top
R22,10K,R_0402_1005Metric,111.2522,-104.1148,90,top
RN1,10k,R_Array_Convex_4x0402,129.337,-100.4064,90,top
SW1,TACT,EVPBB2A9B000,110.5156,-107.874,180,top
SW2,TACT,EVPBB2A9B000,118.1348,-107.8486,0,top
U2,LY68L6400SLIT,SOIC-8_3.9x4.9mm_P1.27mm,129.3,-103.765,180,top
U3,ESP32-D0WDQ6,QFN40P600X600X90-49N-D,118.399549,-99.299999,180,top
U4,W25Q128JV,SOIC-8_5.23x5.23mm_P1.27mm,128.3718,-96.5202,180,top
U5,TPS62290,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,103.3259,-106.4262,180,top
U7,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,111,-100,0,top
Y1,40MHz,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,117.9,-105.4356,-90,top
